List of all songs together
List of songs 
Number of Songs Read in: 495 
Total Views: 1177538085 

Track Name                                                             Artist Name                    Views                     Appears                   
Tudo Ok                                                                Thiaguinho MT                  5464284                   1                         
Turn Me On (feat. Vula)                                                Riton                          5463950                   1                         
Tusa                                                                   KAROL G                        3639270                   3                         
Tutu                                                                   Camilo                         6327743                   1                         
U Played (feat. Lil Baby)                                              Moneybagg Yo                   2161690                   1                         
Una Vez                                                                Bad Bunny                      1387325                   1                         
Unaccommodating (feat. Young M.A)                                      Eminem                         14792747                  2                         
Under The Sun (with J. Cole & Lute feat. DaBaby)                       Dreamville                     1709303                   1                         
UP THE SMOKE (with Offset)                                             Stunna 4 Vegas                 1904090                   1                         
Uproar                                                                 Lil Wayne                      756692                    1                         
Vaina Loca                                                             Ozuna                          2062335                   1                         
VALENTINO                                                              24kGoldn                       2083761                   1                         
Venom - Music From The Motion Picture                                  Eminem                         1595671                   1                         
Vertigo                                                                Khalid                         1752300                   1                         
Vete                                                                   Bad Bunny                      2967586                   3                         
VIBEZ                                                                  DaBaby                         760812                    3                         
